question_id,document_id,question_text,gold_answer,gold_support_chunk_ids,page_hint
q0012,2d1f518956cdc4b3cf6a9447714cfcd0,Con trỏ đọc (read pointer) có vai trò gì?,"Hệ thống lưu một con trỏ đọc để chỉ ra vị trí tiếp theo trong file sẽ được đọc, và vị trí này sẽ thay đổi sau mỗi thao tác đọc dữ liệu[cite: 20, 24].",2d1f518956cdc4b3cf6a9447714cfcd0:9|2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:16,20|24
q0013,2d1f518956cdc4b3cf6a9447714cfcd0,Làm thế nào để thu gọn một file mà vẫn giữ nguyên các thuộc tính của nó?,"Để thu gọn file, hệ thống sẽ tìm file trong thư mục, đặt kích thước của file về 0 và giải phóng vùng nhớ đã được cấp phát cho nội dung file đó[cite: 27].",2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:192|2d1f518956cdc4b3cf6a9447714cfcd0:117,27
q0014,2d1f518956cdc4b3cf6a9447714cfcd0,Sector trên đĩa mềm được xác định như thế nào?,"Một sector trên đĩa mềm có thể được xác định qua tọa độ 3 chiều (Header, Track, Sector) hoặc qua số hiệu sector, là vị trí tương đối so với sector đầu tiên của đĩa[cite: 23, 30].",2d1f518956cdc4b3cf6a9447714cfcd0:69|2d1f518956cdc4b3cf6a9447714cfcd0:68|2d1f518956cdc4b3cf6a9447714cfcd0:82,23|30
q0015,2d1f518956cdc4b3cf6a9447714cfcd0,Cấu trúc vật lý của một đĩa cứng bao gồm những thành phần chính nào?,Một đĩa cứng gồm nhiều mặt đĩa. Các rãnh có cùng bán kính trên các mặt đĩa tạo thành một cylinder. Mỗi mặt của mỗi cylinder lại được chia thành các sector[cite: 28].,2d1f518956cdc4b3cf6a9447714cfcd0:82|2d1f518956cdc4b3cf6a9447714cfcd0:113|2d1f518956cdc4b3cf6a9447714cfcd0:117,28
q0016,2d1f518956cdc4b3cf6a9447714cfcd0,Hệ thống file FAT bao gồm những thành phần chính nào?,"Một hệ thống file FAT bao gồm ba thành phần chính: Boot sector, bảng FAT (File Allocation Table), và thư mục gốc.",2d1f518956cdc4b3cf6a9447714cfcd0:164|2d1f518956cdc4b3cf6a9447714cfcd0:153|2d1f518956cdc4b3cf6a9447714cfcd0:192,
q0017,2d1f518956cdc4b3cf6a9447714cfcd0,Mỗi phần tử trong bảng FAT tương ứng với điều gì?,Mỗi phần tử trong bảng FAT tương ứng với một khối (cluster) trên vùng dữ liệu của đĩa.,2d1f518956cdc4b3cf6a9447714cfcd0:155|2d1f518956cdc4b3cf6a9447714cfcd0:111|2d1f518956cdc4b3cf6a9447714cfcd0:138,
q0018,2d1f518956cdc4b3cf6a9447714cfcd0,Thao tác thay đổi vị trí trong file (seek) có yêu cầu hoạt động vào/ra không?,"Không, thao tác thay đổi vị trí trong file không yêu cầu một hoạt động vào/ra. Nó chỉ đơn giản là thay đổi giá trị của con trỏ file tới một vị trí mới[cite: 26].",2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:9,26
q0019,2d1f518956cdc4b3cf6a9447714cfcd0,Con trỏ ghi (write pointer) được sử dụng để làm gì?,"Hệ thống sử dụng một con trỏ ghi để chỉ ra vị trí trong file nơi dữ liệu mới sẽ được ghi vào, và con trỏ này sẽ thay đổi sau mỗi thao tác ghi[cite: 29].",2d1f518956cdc4b3cf6a9447714cfcd0:9|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:15,29
q0020,2d1f518956cdc4b3cf6a9447714cfcd0,"Nguyên tắc của phương pháp phân phối vùng lưu trữ kiểu ""Phân phối chỉ mục"" là gì?",Nguyên tắc là mỗi file sẽ có một khối chỉ mục chính (index block) chứa danh sách các khối dữ liệu thuộc về file đó.,2d1f518956cdc4b3cf6a9447714cfcd0:55|2d1f518956cdc4b3cf6a9447714cfcd0:192|2d1f518956cdc4b3cf6a9447714cfcd0:184,
q0021,74040f5628748874779838fa7a292b09,Phân biệt giữa tiến trình (process) và chương trình (program).,"Chương trình là một thực thể thụ động chứa các chỉ thị, trong khi tiến trình là trạng thái động của một chương trình khi nó đang được thực thi[cite: 48].",74040f5628748874779838fa7a292b09:47,48
q0022,74040f5628748874779838fa7a292b09,Nhiệm vụ của hệ điều hành trong việc quản lý tiến trình là gì?,"Hệ điều hành có các nhiệm vụ: tạo và hủy tiến trình, ngưng và thực hiện lại tiến trình, cung cấp cơ chế đồng bộ và giao tiếp giữa các tiến trình, và kiểm soát bế tắc[cite: 34].",74040f5628748874779838fa7a292b09:33,34
q0023,74040f5628748874779838fa7a292b09,Kể tên các loại hệ điều hành dựa trên cách chúng hoạt động.,"Các loại hệ điều hành bao gồm: hệ thống xử lý theo lô (đơn và đa chương trình), hệ thống phân chia thời gian, hệ thống song song, hệ thống phân tán, và hệ thống xử lý thời gian thực[cite: 44].",74040f5628748874779838fa7a292b09:42|74040f5628748874779838fa7a292b09:4|74040f5628748874779838fa7a292b09:93,44
q0024,74040f5628748874779838fa7a292b09,Hệ thống xử lý theo lô đa chương trình (multiprogrammed batch system) hoạt động như thế nào?,"Hệ thống này cho phép nhiều chương trình được thực hiện đồng thời. Khi một chương trình phải chờ một thao tác vào/ra, bộ xử lý (processor) sẽ được chuyển giao cho một chương trình khác đang ở trạng thái sẵn sàng, giúp hạn chế thời gian rỗi của processor[cite: 51].",74040f5628748874779838fa7a292b09:44|74040f5628748874779838fa7a292b09:42|74040f5628748874779838fa7a292b09:81,51
q0025,74040f5628748874779838fa7a292b09,Đặc điểm của hệ điều hành trên máy tính cá nhân trong giai đoạn đầu (thập niên 1980) là gì?,"Trong giai đoạn đầu, do tài nguyên phần cứng bị giới hạn, hệ điều hành trên máy tính cá nhân rất đơn giản, thường chỉ là một thư viện các thủ tục và chỉ cho phép chạy một chương trình tại một thời điểm (ví dụ như DOS)[cite: 39].",74040f5628748874779838fa7a292b09:30|74040f5628748874779838fa7a292b09:0|74040f5628748874779838fa7a292b09:11,39
q0026,74040f5628748874779838fa7a292b09,Hệ thống song song kiểu đa xử lý không đối xứng (ASMP) được mô tả như thế nào?,"Trong hệ thống ASMP, có một bộ xử lý chính kiểm soát toàn bộ hệ thống và lập lịch cho các bộ xử lý khác. Mô hình này hoạt động theo dạng quan hệ chủ-tớ (master-slave)[cite: 43].",74040f5628748874779838fa7a292b09:42,43
q0027,74040f5628748874779838fa7a292b09,Tại sao tính an toàn là một tính chất quan trọng của hệ điều hành?,"Tính an toàn rất quan trọng, đặc biệt với hệ điều hành đa nhiệm, để đảm bảo dữ liệu và chương trình được bảo vệ, không bị thay đổi ngoài ý muốn và hạn chế các truy nhập bất hợp pháp[cite: 50].",74040f5628748874779838fa7a292b09:55|74040f5628748874779838fa7a292b09:10|74040f5628748874779838fa7a292b09:4,50
q0028,74040f5628748874779838fa7a292b09,Hệ thống phân tán (distributed system) đối mặt với những vấn đề gì?,"Các hệ thống phân tán phải đối mặt với các vấn đề như độ trễ truyền thông, băng thông, độ tin cậy và các mối đe dọa từ virus[cite: 42].",74040f5628748874779838fa7a292b09:33|74040f5628748874779838fa7a292b09:0|74040f5628748874779838fa7a292b09:67,42
q0029,74040f5628748874779838fa7a292b09,Một tiến trình có thể bao gồm những gì?,"Một tiến trình bao gồm mã lệnh chương trình, dữ liệu của chương trình, ngăn xếp, con trỏ ngăn xếp, các thanh ghi và các thông tin khác cần thiết cho việc thực thi[cite: 48].",74040f5628748874779838fa7a292b09:47,48
q0030,74040f5628748874779838fa7a292b09,"Trong hệ thống đa tiến trình phân chia thời gian, bảng tiến trình (process table) dùng để làm gì?","Do hệ điều hành phải dừng một tiến trình để bắt đầu một tiến trình khác theo chu kỳ, nó cần một bảng tiến trình để lưu trữ thông tin của các tiến trình này[cite: 36].",74040f5628748874779838fa7a292b09:65|74040f5628748874779838fa7a292b09:4|74040f5628748874779838fa7a292b09:10,36
q0031,a3aa8203ae0398a1ef263322bcadebc3,Hệ điều hành sử dụng hai phương pháp nào để biết khi nào một thiết bị vào/ra hoàn thành yêu cầu?,"Hệ điều hành sử dụng hai phương pháp: Ngắt (interrupts), trong đó thiết bị sẽ phát tín hiệu cho CPU, và Thăm dò (polling), trong đó hệ điều hành sẽ kiểm tra thanh ghi trạng thái của thiết bị theo chu kỳ[cite: 66, 67].",a3aa8203ae0398a1ef263322bcadebc3:13|a3aa8203ae0398a1ef263322bcadebc3:3|a3aa8203ae0398a1ef263322bcadebc3:15,66|67
q0032,a3aa8203ae0398a1ef263322bcadebc3,Bộ điều khiển thiết bị (Device Controller) là gì?,"Đó là các mạch điện tử kết nối thiết bị ngoại vi với hệ thống máy tính, vì CPU không điều khiển trực tiếp các thiết bị này[cite: 64].",a3aa8203ae0398a1ef263322bcadebc3:6|a3aa8203ae0398a1ef263322bcadebc3:9|a3aa8203ae0398a1ef263322bcadebc3:32,64
q0033,a3aa8203ae0398a1ef263322bcadebc3,Ngắt (interrupt) là gì?,Ngắt là một hiện tượng dừng đột xuất một chương trình đang chạy để chuyển sang thực hiện một chương trình khác nhằm phản ứng với một sự kiện nào đó xảy ra[cite: 69].,a3aa8203ae0398a1ef263322bcadebc3:15|a3aa8203ae0398a1ef263322bcadebc3:4|a3aa8203ae0398a1ef263322bcadebc3:12,69
q0034,a3aa8203ae0398a1ef263322bcadebc3,Mục đích chính của việc điều phối truy nhập đĩa là gì?,"Mục đích là để cực tiểu hóa thời gian định vị (seek time), tức là thời gian dịch chuyển của đầu đọc/ghi trên đĩa[cite: 59].",a3aa8203ae0398a1ef263322bcadebc3:35|a3aa8203ae0398a1ef263322bcadebc3:24|a3aa8203ae0398a1ef263322bcadebc3:19,59
q0035,a3aa8203ae0398a1ef263322bcadebc3,Thuật toán điều phối truy nhập đĩa SSTF có nhược điểm gì?,"Nhược điểm của SSTF (Shortest Seek Time First) là có thể gây ra tình trạng ""đói"" (starvation), khi một yêu cầu truy nhập ở xa có thể phải đợi vô hạn vì liên tục có các yêu cầu mới xuất hiện ở gần vị trí hiện tại của đầu đọc hơn[cite: 39].",a3aa8203ae0398a1ef263322bcadebc3:39|a3aa8203ae0398a1ef263322bcadebc3:12|a3aa8203ae0398a1ef263322bcadebc3:32,39
q0036,a3aa8203ae0398a1ef263322bcadebc3,Nguyên tắc hoạt động của thuật toán C-SCAN là gì?,"Trong thuật toán C-SCAN, đầu từ di chuyển từ ngoài vào trong, phục vụ các yêu cầu gặp trên đường đi. Khi tới cylinder trong cùng, nó sẽ quay ngược lại cylinder ngoài cùng mà không phục vụ yêu cầu nào trên đường quay về. Điều này giúp thời gian đợi đồng nhất hơn so với SCAN[cite: 61].",a3aa8203ae0398a1ef263322bcadebc3:41|a3aa8203ae0398a1ef263322bcadebc3:43|a3aa8203ae0398a1ef263322bcadebc3:19,61
q0037,a3aa8203ae0398a1ef263322bcadebc3,Thuật toán LOOK khác với thuật toán SCAN như thế nào?,"Thuật toán LOOK là một phiên bản của SCAN, nhưng đầu đọc không di chuyển đến tận cùng của đĩa (cylinder trong cùng hoặc ngoài cùng) mà chỉ di chuyển đến yêu cầu xa nhất về mỗi phía rồi quay lại ngay[cite: 68].",a3aa8203ae0398a1ef263322bcadebc3:43|a3aa8203ae0398a1ef263322bcadebc3:41|a3aa8203ae0398a1ef263322bcadebc3:12,68
q0038,a3aa8203ae0398a1ef263322bcadebc3,CPU làm việc với các thanh ghi của bộ điều khiển thiết bị thông qua đâu?,CPU sử dụng các không gian địa chỉ đặc biệt được gọi là các cổng vào/ra (I/O ports) để làm việc với các thanh ghi của bộ điều khiển thiết bị[cite: 63].,a3aa8203ae0398a1ef263322bcadebc3:8|a3aa8203ae0398a1ef263322bcadebc3:6|a3aa8203ae0398a1ef263322bcadebc3:9,63
q0039,a3aa8203ae0398a1ef263322bcadebc3,Hệ thống sẽ làm gì khi phát hiện một lỗi vào/ra?,"Đầu tiên, hệ thống sẽ cố gắng khắc phục lỗi bằng cách thực hiện lại thao tác nhiều lần. Nếu lỗi vẫn còn, nó sẽ cố gắng khôi phục lại thông tin hoặc báo lỗi[cite: 56].",a3aa8203ae0398a1ef263322bcadebc3:26|a3aa8203ae0398a1ef263322bcadebc3:24|a3aa8203ae0398a1ef263322bcadebc3:3,56
q0040,a3aa8203ae0398a1ef263322bcadebc3,"Theo quan điểm lập trình, một thiết bị vào/ra được xem như là gì?","Theo quan điểm lập trình, một thiết bị vào/ra được xem như một giao diện phần mềm có khả năng nhận lệnh, thực hiện lệnh và trả kết quả về[cite: 62].",a3aa8203ae0398a1ef263322bcadebc3:4|a3aa8203ae0398a1ef263322bcadebc3:3|a3aa8203ae0398a1ef263322bcadebc3:16,62
